system:index,built_frac,dist_water_m,elevation_m,lat,lon,lst_c,ndvi,.geo
5903,0.21551264822483063,2482.941803587027,770,12.858970484037146,77.46861022204536,41.19671749999998,0.5269332861440452,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46861022204536,12.858970484037146]}"
5904,0.19568905257619917,2347.871376374779,770,12.858957477981205,77.46999139010268,41.476995139999985,0.44829081796568787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46999139010268,12.858957477981205]}"
5905,0.5293796977493912,2214.72345903501,775,12.858944464667871,77.47137255664393,40.17643853000001,0.4796733490226007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47137255664393,12.858944464667871]}"
5906,0.7132794244680554,2083.8665984174704,783,12.858931444097184,77.47275372166825,39.20742986000005,0.4321905745245983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47275372166825,12.858931444097184]}"
5907,0.738000962883234,1950.0,788,12.858918416269182,77.47413488517479,41.931591800000035,0.35938917112614355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47413488517479,12.858918416269182]}"
5908,0.6995059885084629,1812.456896039186,787,12.858905381183897,77.47551604716271,41.01727145000004,0.38022140624251755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47551604716271,12.858905381183897]}"
5909,0.5355034405365586,1677.0509831248423,781,12.858892338841372,77.47689720763117,40.78997312000001,0.40769590994745686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47689720763117,12.858892338841372]}"
5910,0.09469405957497656,1544.34452114805,778,12.858879289241642,77.4782783665793,39.57657602000003,0.46912733492407105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4782783665793,12.858879289241642]}"
5911,0.039621262112632394,1415.0971698084904,781,12.858866232384742,77.4796595240063,38.53749793999998,0.40960224575309095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4796595240063,12.858866232384742]}"
5912,0.03296006564050913,1290.348790056394,803,12.858853168270711,77.48104067991127,39.22451996000001,0.4105373434021562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48104067991127,12.858853168270711]}"
5913,0.03296006564050913,1171.537451385998,801,12.858840096899586,77.48242183429342,38.83144765999998,0.45384299659153776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48242183429342,12.858840096899586]}"
5914,0.033048772253096104,1060.6601717798212,800,12.858827018271407,77.48380298715186,36.908811410000055,0.4877295847851225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48380298715186,12.858827018271407]}"
5915,0.03301549330353737,960.4686356149273,804,12.858813932386205,77.48518413848576,36.37389128000001,0.5176395000194698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48518413848576,12.858813932386205]}"
5916,0.05679249856621027,874.6427842267951,786,12.858800839244024,77.48656528829429,36.48326792,0.4811951264076009,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48656528829429,12.858800839244024]}"
5917,0.038577333092689514,807.7747210701756,783,12.858787738844898,77.48794643657658,35.66636114000005,0.4822524210255039,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48794643657658,12.858787738844898]}"
5918,0.03232050780206919,764.8529270389176,788,12.858774631188862,77.4893275833318,37.00622498000001,0.4700117600940807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4893275833318,12.858774631188862]}"
5919,0.033198734978213906,750.0,790,12.858761516275958,77.49070872855908,37.36169905999998,0.4754209425127029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49070872855908,12.858761516275958]}"
5920,0.03612412512302399,750.0,779,12.858748394106222,77.49208987225764,36.58922654000003,0.5031007006096442,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49208987225764,12.858748394106222]}"
5921,0.03714652778580785,764.8529270389176,779,12.85873526467969,77.49347101442655,35.150240120000035,0.43217109687193234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49347101442655,12.85873526467969]}"
5922,0.03682496421970427,807.7747210701756,779,12.858722127996398,77.49485215506502,35.73472154000001,0.47663770151262486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49485215506502,12.858722127996398]}"
5923,0.032041501719504595,874.6427842267951,780,12.858708984056388,77.49623329417219,35.184420320000015,0.49067755579307015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49623329417219,12.858708984056388]}"
5924,0.03570788190700114,960.4686356149273,790,12.858695832859695,77.49761443174721,34.856290400000034,0.45728070643949514,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49761443174721,12.858695832859695]}"
5925,0.03362827096134424,1060.6601717798212,820,12.858682674406355,77.49899556778925,35.702250350000014,0.4753164059370859,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49899556778925,12.858682674406355]}"
5926,0.032827229239046574,1171.537451385998,827,12.858669508696408,77.50037670229744,36.97204478000003,0.4862279920728381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50037670229744,12.858669508696408]}"
5927,0.03366745659150183,1290.348790056394,815,12.85865633572989,77.50175783527096,36.807979820000014,0.5165552205301855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50175783527096,12.85865633572989]}"
5928,0.0365137888584286,1415.0971698084904,804,12.85864315550684,77.50313896670895,38.93398825999998,0.46662397951016504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50313896670895,12.85864315550684]}"
5929,0.0365137888584286,1544.34452114805,802,12.858629968027293,77.50452009661056,41.603461880000054,0.40706519202949265,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50452009661056,12.858629968027293]}"
5930,0.03527651564218104,1677.0509831248423,807,12.858616773291287,77.50590122497496,43.06295641999998,0.29639881146975267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50590122497496,12.858616773291287]}"
5931,0.038057618075981736,1812.456896039186,817,12.858603571298863,77.5072823518013,44.71386008000002,0.3022789368120154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5072823518013,12.858603571298863]}"
5932,0.07815171056427062,1950.0,825,12.858590362050055,77.50866347708872,44.83007276000001,0.35983946987726917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50866347708872,12.858590362050055]}"
5933,0.2538600005209446,2089.258241577618,825,12.858577145544903,77.5100446008364,42.38618846,0.41867542243855393,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5100446008364,12.858577145544903]}"
5934,0.25885078334249556,2089.258241577618,821,12.858563921783443,77.51142572304347,39.137360450000045,0.5064689466987946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51142572304347,12.858563921783443]}"
5935,0.6829886513296515,2040.2205763103166,822,12.858550690765712,77.5128068437091,39.12197936000001,0.4541986432229701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5128068437091,12.858550690765712]}"
5936,0.23607000801712275,2001.2496096189502,823,12.85853745249175,77.51418796283244,39.395420960000024,0.5280309597512801,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51418796283244,12.85853745249175]}"
5937,0.05053851963020861,1972.9419656948858,838,12.858524206961592,77.51556908041265,40.51140449000002,0.4485585569317604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51556908041265,12.858524206961592]}"
5938,0.040488543221727014,1955.7607215607948,845,12.85851095417528,77.51695019644889,40.55071172000004,0.41250102774182146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51695019644889,12.85851095417528]}"
5939,0.04903032269794494,1950.0,854,12.858497694132847,77.5183313109403,39.86368970000001,0.4040938300844381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5183313109403,12.858497694132847]}"
5940,0.2523091301554814,1955.7607215607948,858,12.858484426834334,77.51971242388602,38.57167814000002,0.4638755120602979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51971242388602,12.858484426834334]}"
5941,0.23295809188857675,1972.9419656948858,861,12.858471152279778,77.52109353528525,37.74793532000001,0.4082219815417745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52109353528525,12.858471152279778]}"
5942,0.13827739749103785,2001.2496096189502,851,12.858457870469213,77.52247464513711,36.94299161000001,0.3881770401371871,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52247464513711,12.858457870469213]}"
5943,0.3524064407683909,2040.2205763103166,849,12.858444581402685,77.52385575344077,37.36682609000002,0.42210992148175874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52385575344077,12.858444581402685]}"
5944,0.6112937048310414,2040.2205763103166,848,12.858431285080224,77.52523686019538,38.94766034000003,0.32682010106595827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52523686019538,12.858431285080224]}"
5945,0.6112937048310414,2001.2496096189502,850,12.858417981501873,77.52661796540009,39.316806499999984,0.37266195961848136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52661796540009,12.858417981501873]}"
5946,0.6948707394767553,1972.9419656948858,858,12.858404670667666,77.52799906905405,39.09463520000003,0.3087208945944291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52799906905405,12.858404670667666]}"
5947,0.5669677176047117,1955.7607215607948,861,12.858391352577643,77.52938017115643,38.78359538000001,0.3530691501630107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52938017115643,12.858391352577643]}"
5948,0.549484561313875,1950.0,858,12.858378027231842,77.5307612717064,39.183503719999976,0.40057898083140575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5307612717064,12.858378027231842]}"
5949,0.2731889911228791,1955.7607215607948,860,12.858364694630302,77.53214237070307,39.91837801999998,0.38750126232874416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53214237070307,12.858364694630302]}"
5950,0.30066015536431223,1955.7607215607948,868,12.85835135477306,77.53352346814563,39.79874732000002,0.3920715578383004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53352346814563,12.85835135477306]}"
5951,0.7464539535576478,1950.0,865,12.858338007660151,77.53490456403323,39.82267346000003,0.2843754328369432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53490456403323,12.858338007660151]}"
5952,0.7111548661487177,1955.7607215607948,868,12.858324653291616,77.536285658365,40.63616222000002,0.28828861758900504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.536285658365,12.858324653291616]}"
5953,0.16087521705776453,1972.9419656948858,878,12.858311291667494,77.53766675114012,41.210389580000026,0.3861844228906959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53766675114012,12.858311291667494]}"
5954,0.5162287431303412,2001.2496096189502,881,12.858297922787823,77.53904784235775,37.89832820000004,0.24366961571947676,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53904784235775,12.858297922787823]}"
5955,0.6278076509479433,2040.2205763103166,878,12.858284546652637,77.54042893201702,37.11901964000003,0.23579908510840067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54042893201702,12.858284546652637]}"
5956,0.4577946299687028,2089.258241577618,877,12.85827116326198,77.5418100201171,38.882717960000036,0.3483259068877373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5418100201171,12.85827116326198]}"
5957,0.2740187654271722,2147.673159491453,876,12.858257772615884,77.54319110665715,43.07321048000003,0.347522644615911,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54319110665715,12.858257772615884]}"
5958,0.16646788478828967,2214.72345903501,854,12.858244374714392,77.5445721916363,40.031172680000054,0.4534477359929112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5445721916363,12.858244374714392]}"
5959,0.42634905874729156,2289.650628371062,846,12.858230969557539,77.54595327505375,38.34437981000002,0.5588117192598543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54595327505375,12.858230969557539]}"
5960,0.6690878535155207,2371.7082451262845,852,12.858217557145366,77.5473343569086,39.019438760000014,0.40225371202182464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5473343569086,12.858217557145366]}"
5961,0.6690878535155207,2460.182920028509,859,12.85820413747791,77.54871543720006,40.06193486000001,0.3946479494236197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54871543720006,12.85820413747791]}"
5962,0.6848815120756626,2554.4079548889604,857,12.858190710555208,77.55009651592724,40.12687724,0.34154446340868716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55009651592724,12.858190710555208]}"
5963,0.5953529591206461,2653.77090194312,862,12.858177276377301,77.55147759308932,40.1713115,0.4520856052344601,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55147759308932,12.858177276377301]}"
5964,0.23130498849786818,2757.7164466275353,869,12.858163834944225,77.55285866868545,40.02775466000003,0.44429871025240036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55285866868545,12.858163834944225]}"
